"InternalReference","Description","ItemCategory","ItemCategory2","Department","Weight","Dimension","Length","Thickness","UsedFor","Finishing","SAD_UOM","conversion_rate","PURCHASE_UOM","Warehouse_QTY","Available_QTY","Warehouse_QTY_SG","Available_QTY_SG","PQ_QTY","PO_QTY","MinQty","reOrderQty","drawing_Ref_T1","drawing_Ref_T2","drawing_Ref_FRP","PackingReference","our_final_price","market_final_price"
"VT-100-SS316-ANSI150","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","226","226"
"VT-100-SS316-ANSI150","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","226","226"
"VT-100-SS316-J10K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-J10K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-J10K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-J5K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-J5K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-J5K","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - JIS 5K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-TE","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-TE","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-100-SS316-TE","STAINLESS STEEL 316 Ø100MM VORTEX INHIBITOR - Table E","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,,"PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","36","36"
"VT-150-HDG-PN16","HDG Ø150MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","54.352","55.85"
"VT-150-HDG-PN16","HDG Ø150MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","54.352","55.85"
"VT-150-HDG-PN16","HDG Ø150MM VORTEX INHIBITOR - PN16","FABRICATION","ACCESSORIES","GALVANIZING","0",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","54.352","55.85"
"VT-150-MS-ANSI150","MILD STEEL Ø150MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","64.5","64.5"
"VT-150-MS-ANSI150","MILD STEEL Ø150MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","64.5","64.5"
"VT-150-MS-ANSI150","MILD STEEL Ø150MM VORTEX INHIBITOR - ANSI150","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","64.5","64.5"
"VT-150-MS-J10K","MILD STEEL Ø150MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-150-MS-J10K","MILD STEEL Ø150MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
"VT-150-MS-J10K","MILD STEEL Ø150MM VORTEX INHIBITOR - JIS 10K","FABRICATION","ACCESSORIES","ACCESSORIES","0",,"0",,,"MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","LOOSE","6","6"
